topic,rank,term,weight
1,1,optimization,0.06866208
1,2,adversarial,0.061839994
1,3,optimal,0.045049064
1,4,algorithms,0.040982038
1,5,kernel,0.03310597
1,6,encoder,0.030111453
1,7,estimators,0.026335925
1,8,regularized,0.025159897
1,9,algorithm,0.018492293
1,10,detection,0.01829222
1,11,manifold,0.015506499
1,12,autoencoders,0.015289607
1,13,estimator,0.015018905
1,14,outliers,0.013781827
1,15,boosting,0.013638632
1,16,hyperparameters,0.01294633
1,17,minimax,0.012345832
1,18,adaptation,0.012026631
1,19,optimizing,0.010365472
1,20,images,0.010280874
2,1,learning,0.10249616
2,2,language,0.046092685
2,3,generative,0.04528362
2,4,deep,0.027757853
2,5,neural,0.025928378
2,6,languages,0.024318388
2,7,translation,0.022186987
2,8,text,0.021887118
2,9,multilingual,0.021472747
2,10,gradient,0.020881433
2,11,nonparametric,0.017316762
2,12,annotation,0.015283868
2,13,ensemble,0.014772614
2,14,annotated,0.01292496
2,15,annotations,0.012758792
2,16,adaptive,0.012292695
2,17,lingual,0.012219768
2,18,autoencoder,0.011955007
2,19,texts,0.011906593
2,20,memory,0.01188607
3,1,models,0.0998384
3,2,bayesian,0.07710712
3,3,stochastic,0.04719571
3,4,variational,0.04259017
3,5,sampling,0.038002945
3,6,inference,0.029945496
3,7,likelihood,0.027048346
3,8,probabilistic,0.026301086
3,9,causal,0.024436338
3,10,markov,0.022005256
3,11,posterior,0.01982812
3,12,networks,0.014077856
3,13,nodes,0.013675342
3,14,ranking,0.012559611
3,15,uncertainty,0.011620402
3,16,tree,0.011086063
3,17,complexity,0.010544762
3,18,bayes,0.008835258
3,19,trees,0.008666756
3,20,langevin,0.008505909
4,1,sparse,0.11969908
4,2,regression,0.06124859
4,3,lasso,0.05272222
4,4,linguistic,0.04626839
4,5,semantic,0.04262388
4,6,knowledge,0.031770475
4,7,forecasting,0.030940633
4,8,textual,0.029551992
4,9,syntactic,0.020522939
4,10,parsing,0.019010104
4,11,semantics,0.01856774
4,12,discovery,0.016983794
4,13,reasoning,0.016689619
4,14,sparsity,0.01651771
4,15,predictions,0.015548458
4,16,forest,0.015230046
4,17,penalized,0.014147054
4,18,compression,0.01370867
4,19,forecast,0.013218299
4,20,entropy,0.012360388
5,1,neural,0.12598687
5,2,networks,0.09621273
5,3,attention,0.09127645
5,4,corpora,0.03612111
5,5,cnn,0.035163965
5,6,convolutional,0.034532987
5,7,privacy,0.023273012
5,8,decoding,0.019544557
5,9,cnns,0.018412823
5,10,generalization,0.015211849
5,11,agent,0.011753432
5,12,text,0.011660186
5,13,agents,0.010938989
5,14,arabic,0.010917061
5,15,backpropagation,0.010637218
5,16,predictor,0.0102358805
5,17,statistics,0.009794069
5,18,dialogue,0.009216987
5,19,private,0.009088527
5,20,svms,0.007479626
6,1,corpus,0.06416636
6,2,estimation,0.058361966
6,3,graphs,0.035828874
6,4,graph,0.031578712
6,5,estimating,0.028340925
6,6,robust,0.026045589
6,7,speech,0.022520185
6,8,visual,0.020293612
6,9,robustness,0.019418547
6,10,data,0.01759025
6,11,causal,0.016744984
6,12,minimization,0.01673979
6,13,utterances,0.015153247
6,14,modeling,0.014975634
6,15,pca,0.014194885
6,16,biases,0.014175116
6,17,imagenet,0.0129486285
6,18,networks,0.012767249
6,19,divergence,0.010968095
6,20,ensembles,0.010832516
7,1,classification,0.17021547
7,2,datasets,0.06951407
7,3,classifier,0.058860805
7,4,classifiers,0.057438713
7,5,bias,0.030941999
7,6,dataset,0.02923908
7,7,lstm,0.024012076
7,8,tensor,0.02095279
7,9,mcmc,0.020779274
7,10,forests,0.013116851
7,11,fairness,0.0123592485
7,12,recognition,0.011783391
7,13,3d,0.011568588
7,14,vision,0.008624328
7,15,dynamics,0.008195826
7,16,matrices,0.007599008
7,17,pose,0.0070499983
7,18,tensors,0.0069393963
7,19,decomposition,0.0065844324
7,20,classes,0.0063771214
8,1,prediction,0.061348613
8,2,regularization,0.05314393
8,3,nlp,0.05292952
8,4,embeddings,0.039799422
8,5,embedding,0.032092847
8,6,neural,0.029116465
8,7,predictive,0.024703916
8,8,entity,0.02067717
8,9,similarity,0.01755666
8,10,kernels,0.017300801
8,11,entities,0.016820163
8,12,bert,0.016364226
8,13,semantic,0.013789368
8,14,predicting,0.013428262
8,15,dimensional,0.012967662
8,16,factorization,0.012699065
8,17,dimensionality,0.011902599
8,18,labels,0.011606796
8,19,predictors,0.011572524
8,20,multivariate,0.011467974
9,1,sentiment,0.048063114
9,2,benchmark,0.04276497
9,3,multimodal,0.041736394
9,4,tasks,0.038679052
9,5,conversational,0.033458248
9,6,contextual,0.03229072
9,7,ai,0.03045606
9,8,benchmarks,0.020145193
9,9,exploration,0.020104125
9,10,task,0.018579355
9,11,attacks,0.018373666
9,12,interpretability,0.018201595
9,13,explanations,0.01670508
9,14,disambiguation,0.014688934
9,15,grammars,0.0123266885
9,16,observations,0.011982134
9,17,prompting,0.010641821
9,18,calibration,0.00971868
9,19,evaluations,0.008642241
9,20,interpretable,0.00855141
10,1,gaussian,0.10843282
10,2,feature,0.05008968
10,3,features,0.0499309
10,4,bandit,0.040110774
10,5,retrieval,0.039285004
10,6,selection,0.038912397
10,7,sentences,0.0354658
10,8,matrix,0.02712794
10,9,bandits,0.022991328
10,10,latent,0.017146306
10,11,convex,0.013872131
10,12,anomaly,0.013326887
10,13,flow,0.012974896
10,14,optimality,0.010782838
10,15,comprehension,0.010481055
10,16,layers,0.010434659
10,17,imputation,0.009634352
10,18,reading,0.009414843
10,19,iterative,0.009378218
10,20,boltzmann,0.0092963725
